epoch,p1x,p1y,p1z,p2x,p2y,p2z
276,14.0,14.0,1.0,16.0,15.0,31.0
277,14.0,14.0,1.0,16.0,15.0,31.0
278,13.0,14.0,1.0,16.0,15.0,31.0
279,14.0,16.0,1.0,16.0,14.0,31.0
280,13.0,14.0,1.0,16.0,15.0,31.0
281,13.0,14.0,1.0,16.0,15.0,31.0
282,14.0,14.0,1.0,16.0,15.0,31.0
283,13.0,14.0,1.0,16.0,15.0,31.0
284,13.0,14.0,1.0,16.0,16.0,31.0
285,13.0,15.0,1.0,16.0,14.0,31.0
286,14.0,14.0,1.0,15.0,16.0,31.0
287,16.0,14.0,1.0,14.0,16.0,31.0
288,14.0,16.0,1.0,16.0,14.0,31.0
289,14.0,16.0,1.0,16.0,14.0,31.0
290,13.0,14.0,1.0,16.0,16.0,31.0
291,14.0,16.0,1.0,16.0,14.0,31.0
292,13.0,14.0,1.0,16.0,15.0,31.0
293,14.0,14.0,1.0,16.0,15.0,31.0
294,13.0,15.0,1.0,16.0,14.0,31.0
295,14.0,14.0,1.0,16.0,15.0,31.0
296,14.0,16.0,1.0,16.0,14.0,31.0
297,14.0,16.0,1.0,16.0,14.0,31.0
298,14.0,14.0,1.0,16.0,15.0,31.0
299,14.0,16.0,1.0,16.0,14.0,31.0
300,13.0,15.0,1.0,16.0,13.0,31.0
301,13.0,15.0,1.0,16.0,13.0,31.0
302,13.0,14.0,1.0,16.0,15.0,31.0
303,13.0,14.0,1.0,16.0,15.0,31.0
304,13.0,14.0,1.0,16.0,15.0,31.0
305,13.0,15.0,1.0,16.0,14.0,31.0
306,14.0,14.0,1.0,16.0,15.0,31.0
307,13.0,14.0,1.0,16.0,16.0,31.0
308,14.0,14.0,1.0,16.0,15.0,31.0
309,16.0,15.0,1.0,13.0,14.0,31.0
310,13.0,14.0,1.0,16.0,15.0,31.0
311,14.0,14.0,1.0,16.0,15.0,31.0
312,14.0,16.0,1.0,16.0,14.0,31.0
313,14.0,14.0,1.0,16.0,15.0,31.0
314,14.0,16.0,1.0,15.0,13.0,31.0
315,14.0,16.0,1.0,16.0,14.0,31.0
316,14.0,16.0,1.0,16.0,13.0,31.0
317,13.0,15.0,1.0,16.0,14.0,31.0
318,14.0,14.0,1.0,15.0,16.0,31.0
319,14.0,14.0,1.0,16.0,15.0,31.0
320,14.0,14.0,1.0,16.0,15.0,31.0
321,14.0,13.0,1.0,16.0,16.0,31.0
322,13.0,15.0,1.0,16.0,13.0,31.0
323,16.0,14.0,1.0,14.0,16.0,31.0
324,13.0,15.0,1.0,16.0,14.0,31.0
